"Instrument","Qty.","Avg cost.","LTP","Current value","P&L","Net chg.","Day's chg."
"DAIKAFFI","10","68","85","850","170","0.25","-1.4492753623188406"
"ADANIENT","25","65","198.2","4955","3329.9999999999995","2.049230769230769","-0.8752188047011753"
"ADANIPOWER","100","30.4132653061224","44.2","4420","1378.6734693877602","0.45331320248280726","-1.2290502793296025"
"AMTEKAUTO-BE","225","38.55555555555559","28.4","6390","-2285.0000000000086","-0.2634005763688768","-2.739726027397263"
"CGPOWER","62","61.491935483871","96.95","6010.900000000001","2198.399999999998","0.5766295081967204","-0.9703779366700743"
"COUNCODOS-BE","400","3.8","3.95","1580","60.00000000000014","0.03947368421052641","2.5974025974025996"
"DLF","25","106.83333333333302","266.85","6671.250000000001","4000.4166666666747","1.497815912636513","-0.6330292310556651"
"DNAMEDIA","310","13.1","11.8","3658","-402.99999999999966","-0.09923664122137396","-2.479338842975198"
"FCONSUMER","60","20.65","69.7","4182","2943.0000000000005","2.3753026634382572","-4.389574759945134"
"GAMMNINFRA","700","3.7","4.45","3115","525","0.2027027027027027","11.250000000000004"
"GMRINFRA","50","11","22.1","1105","555.0000000000001","1.0090909090909093","5.238095238095245"
"GVKPIL-BE","100","18.88","26.8","2680","792.0000000000002","0.4194915254237289","4.892367906066536"
"HINDMOTORS","60","4.8","12.7","762","473.99999999999994","1.6458333333333333","-9.9290780141844"
"JKTYRE","35","101.953846153846","177.1","6198.5","2630.1153846153898","0.7370605100347091","0.1980198019801948"
"JPPOWER","100","4.5","7.95","795","345","0.7666666666666667","2.580645161290325"
"JYOTISTRUC","100","11.3","14","1400","269.99999999999994","0.23893805309734506","-3.7800687285223415"
"LYCOS","100","6.5","7.9","790","140.00000000000003","0.21538461538461545","-5.952380952380952"
"NAGAROIL","500","4.84","4.95","2475","55.000000000000156","0.022727272727272794","-1.9801980198019733"
"NFL","20","72","74.7","1494","54.00000000000006","0.03750000000000004","2.6098901098901175"
"OMKARCHEM","90","98.2222222222222","76.2","6858","-1981.9999999999977","-0.22420814479637988","0.46143704680291175"
"OPTOCIRCUI-BE","200","9.5","10.9","2180","280.00000000000006","0.14736842105263162","-3.111111111111108"
"PARACABLES","80","3.5","17.6","1408","1128","4.028571428571429","2.623906705539375"
"PINCON","155","65.1870967741935","41.95","6502.25","-3601.749999999993","-0.35646773555027667","-0.3562945368170988"
"SHARONBIO-BZ","400","10.1","8.45","3379.9999999999995","-660.0000000000001","-0.1633663366336634","-4.4117647058823595"
"SINTEX","100","26","25.4","2540","-60.00000000000014","-0.02307692307692313","-5.223880597014934"
"SUJANAUNI-BE","2445","1.59130879345603","1.25","3056.25","-834.4999999999932","-0.21448306881706475","4.1666666666666705"
"SUVEN","10","165.03125","207.35","2073.5","423.18749999999994","0.25642870668434004","-1.5899383009017534"
"UNITECH","240","4.54772727272727","9.3","2232","1140.5454545454554","1.044977511244379","-3.626943005181343"
"ZEEMEDIA","20","24.75","45.55","911","415.99999999999994","0.8404040404040403","-2.9818956336528344"